Модуль;Деталь;Длина, мм;Ширина, мм;Толщина, мм;Материал;Кол-во
Верстак;Тумба Л — бок левый;864;600;18;фанера берёза 18;2
Верстак;Тумба Л — дно;600;464;18;фанера берёза 18;2
Верстак;Тумба Л — цоколь;464;60;18;фанера берёза 18;2
Верстак;Тумба Л — царга передняя;464;100;18;фанера берёза 18;4
Верстак;Тумба Л — задняя стенка;804;464;6;ХДФ 6;2
Верстак;Фасад ящика 1 (низ);496;300;18;фанера берёза 18;1
Верстак;Фасад ящика 2;496;270;18;фанера берёза 18;1
Верстак;Фасад ящика 3 (верх);496;228;18;фанера берёза 18;1
Верстак;Ручка печатная 1;140;16;10;PETG (печать);3
Верстак;Тумба П — полка;600;464;18;фанера берёза 18;1
Верстак;Связь задняя;600;182;18;фанера берёза 18;1
Верстак;Столешница — нижний слой;1600;650;18;фанера берёза 18;2
Верстак;Надстройка — щека левая;550;200;18;фанера берёза 18;2
Верстак;Перфопанель;1564;470;6;перфо-ХДФ 6;1
Верстак;Надстройка — полка;1600;210;18;фанера берёза 18;1
Верстак;Надстройка — экран LED;1600;58;18;фанера берёза 18;1
Верстак;Крючок 1;70;14;6;PETG (печать);6
Башня принтера;Башня — бок левый;1582;600;18;фанера берёза 18;2
Башня принтера;Башня — дно;614;600;18;фанера берёза 18;3
Башня принтера;Башня — цоколь;614;60;18;фанера берёза 18;1
Башня принтера;Башня — крыша;650;650;18;фанера берёза 18;1
Башня принтера;Башня — задник склада;614;536;6;ХДФ 6;1
Башня принтера;Башня — задник верхний;614;250;6;ХДФ 6;1
Башня принтера;Дверь левая;514;321;18;фанера берёза 18;2
Башня принтера;Ручка двери Л;120;10;10;PETG (печать);2
